"What is the definition of an RSI divergence in trading?","A discrepancy between price action (highs/lows on the chart) and RSI indicator movement (highs/lows on the RSI)."
"What does a Regular RSI Divergence signal?","It is a Trend Reversal Pattern and indicates the potential end of an existing trend."
"How is a Bearish Regular RSI Divergence formed?","Price forms a higher high while the RSI forms a lower high (typically at the end of an uptrend)."
"How is a Bullish Regular RSI Divergence formed?","Price forms a lower low while the RSI forms a higher low (typically at the end of a downtrend)."
"What does a Hidden RSI Divergence signal?","It is a Trend Continuation Pattern indicating that the existing trend will continue after a pullback."
"How does a Bullish Hidden RSI Divergence occur?","Price makes a higher low during an uptrend while the RSI makes a lower low."
"How does a Bearish Hidden RSI Divergence occur?","Price makes a lower high during a downtrend while the RSI makes a higher high."
"What is the core concept of a Trendline Break Divergence?","The RSI breaks the neckline of a chart pattern (e.g., Head & Shoulders) BEFORE price breaks its neckline on the chart."
"Why is the proximity of the RSI to the 8 SMA considered a crucial filter ('Game Changer')?","Because trades should be skipped if the RSI is far from the 8 SMA; closeness or a cross confirms short-term momentum."
"What role does the 21 EMA play when trading setups?","It serves as a dynamic filter ('wall' / 'bus stop'). A bullish candle should not close directly under the 21 EMA in long setups."
"Which range in Fibonacci Retracement is referred to as the 'Golden Pocket'?","The zone between the 0.50 and 0.618 Fibonacci levels."
"Why is the 786 Fibonacci level particularly relevant in Bitcoin trading?","It is considered the 'last train' for a pullback in trend direction; if broken, the primary trend is usually over."
"Why should the 236 Fibonacci Retracement level be avoided for trade entries?","Because it represents a shallow pullback offering a very poor Risk-Reward Ratio (R/R)."
"What is the strict validity rule for candles at Fibonacci and EMA levels?","Price may touch the level with a wick or body, but NO candle body may completely cut through the level."
"What is the difference between Fibonacci Retracement and Fibonacci Extension/Expansion?","Retracement identifies pullback zones within a trend, while Extension/Expansion determines take-profit targets (TP) and trend end points."
"What are the 4 steps forming an LSOB (Liquidity Sweep Orderblock)?","1. Liquidity Sweep, 2. Formation of 2 opposite-colored candles, 3. Drawing the Orderblock, 4. Retest of the zone with rejection."
"When is a Liquidity Sweep Orderblock (LSOB) invalid?","When no sweep occurred (e.g., Equal Highs), the candle body closes too deep into the zone, or price cuts completely through."
"What is meant by a 'Liquidity Sweep' (LS)?","The targeted triggering of stop-losses above a high or below a low before price reverses direction."
"What does 'Equal Highs' mean in the context of liquidity?","Two or more highs at virtually identical levels, above which many stop-losses (liquidity) accumulate."
"What does the abbreviation BOS stand for in Smart Money Concepts (SMC)?","Break of Structure: Breaking a previous structural high or low in the direction of the trend."
"What does CHOCH mean in trading?","Change of Character: The first sign of a potential trend reversal by breaking opposing market structure."
