Was ist der primäre Zweck der Web-Anwendung Cachy?,"Die präzise Berechnung von Positionsgrößen, Risikomanagement und das Führen eines Handelstagebuchs für Krypto-Trader."
Auf welchen drei Faktoren basiert die automatische Berechnung der optimalen Positionsgröße in Cachy?,"Kontogröße, Risiko in $\%$ und Stop-Loss."
Erkläre das 'Dual Locking System' im Trading-Rechner von Cachy.,Es erlaubt das Sperren der Positionsgröße (um das Risiko anzupassen) oder des Risikobetrags (um die Positionsgröße anzupassen).
Wofür wird die ATR-Integration (Average True Range) in Cachy primär genutzt?,Zur dynamischen Berechnung von Stop-Loss-Werten basierend auf Marktdaten von Binance oder Bitunix.
"Wo speichert Cachy sensible Daten wie API-Schlüssel, Einstellungen und Journal-Einträge?",Ausschließlich lokal im Browser des Nutzers (`localStorage`).
Wie viele Take-Profit-Ziele können in Cachy maximal für einen Trade definiert werden?,Es können bis zu 5 Take-Profit-Ziele festgelegt werden.
"Was geschieht mit der prozentualen Verteilung der Take-Profit-Ziele, wenn Anpassungen vorgenommen werden?","Sie gleicht sich automatisch aus, um in der Summe immer genau $100\%$ zu ergeben."
Welche spezifischen Metriken berechnet das System für jedes Take-Profit-Target?,"Profit, Chance-Risiko-Verhältnis ($R/R$) und den Netto-Ertrag."
Welcher Service übernimmt in der Architektur von Cachy die zentrale Verwaltung der WebSockets?,Der `MarketWatcher`-Service.
Was bezweckt das 'Reference Counting' im System von Cachy?,"Eine intelligente Nachverfolgung von Datenanfragen, um ungewollte Verbindungsabbrüche zu verhindern."
Welche Funktion erfüllt die 'Jules API' innerhalb der Anwendung?,Ein KI-gestütztes System zur Analyse und Berichterstattung von Fehlern.
"Nenne drei technische Indikatoren, die im 'Technicals Panel' über `talib-web` verfügbar sind.","RSI, MACD und Stochastik."
Welche Zeitrahmen (Timeframes) stehen für den automatischen ATR-Abruf zur Verfügung?,"5m, 15m, 1h, 4h und 1d."
Wie viele Favoriten-Symbole können für den Schnellzugriff in der Sidebar gespeichert werden?,Maximal 4 Symbole.
Welche Status-Optionen können einem Trade im integrierten Journal zugewiesen werden?,"Offen (Open), Gewonnen (Won) und Verloren (Lost)."
In welchem Format können Journal-Daten für die Nutzung in Excel exportiert werden?,Im CSV-Format.
Welche zwei großen Krypto-Börsen werden als Datenquellen für Echtzeitpreise unterstützt?,Bitunix (Standard) und Binance.
Was ist der Vorteil von 'Presets' in den Cachy-Einstellungen?,Häufig genutzte Setups (z. B. für Scalping-Strategien) können für den schnellen Zugriff gespeichert werden.
Welche Tastenkombination öffnet in Cachy das Journal?,Alt+J
Mit welcher Taste können Modals (Dialogfenster) in der Anwendung schnell geschlossen werden?,Mit der Escape-Taste.
Welche Mindestversion von Node.js wird für die Entwicklung von Cachy vorausgesetzt?,Node.js Version v18 oder höher.
Welches Framework bildet die Basis für die Cachy-Applikation?,SvelteKit.
Auf wie viele Dezimalstellen genau kann das 'Risiko pro Trade' eingestellt werden?,Auf bis zu 2 Dezimalstellen.
