id,question,answer
rsi-divergence-definition,Was ist die Definition einer RSI-Divergenz im Trading?,Eine Abweichung zwischen der Preisbewegung (Hochs/Tiefs im Chart) und der Bewegung des RSI-Indikators (Hochs/Tiefs auf dem RSI).
rsi-divergence-regular-signal,Was signalisiert eine Reguläre RSI-Divergenz?,Sie ist ein Trendumkehrmuster ('Trend Reversal Pattern') und deutet auf das Ende eines bestehenden Trends hin.
rsi-divergence-bearish-regular,Wie bildet sich eine Bärische Reguläre RSI-Divergenz?,"Der Preis bildet ein höheres Hoch, während der RSI ein tieferes Hoch bildet (typisch am Ende eines Aufwärtstrends)."
rsi-divergence-bullish-regular,Wie bildet sich eine Bullische Reguläre RSI-Divergenz?,"Der Preis bildet ein tieferes Tief, während der RSI ein höheres Tief bildet (typisch am Ende eines Abwärtstrends)."
rsi-divergence-hidden-signal,Was signalisiert eine Versteckte RSI-Divergenz ('Hidden Divergence')?,"Sie ist ein Trendfortsetzungsmuster ('Trend Continuation Pattern') und zeigt an, dass der bestehende Trend nach einem Pullback fortgesetzt wird."
rsi-divergence-bullish-hidden,Wie entsteht eine Bullische Versteckte RSI-Divergenz?,"Der Preis macht im Aufwärtstrend ein höheres Tief, während der RSI ein tieferes Tief macht."
rsi-divergence-bearish-hidden,Wie entsteht eine Bärische Versteckte RSI-Divergenz?,"Der Preis macht im Abwärtstrend ein tieferes Hoch, während der RSI ein höheres Hoch macht."
rsi-divergence-trendline-break,Was ist das Kernkonzept einer Trendline Break Divergenz?,"Der RSI bricht die Nackenlinie ('Neckline') eines Chartmusters (z. B. Schulter-Kopf-Schulter), BEVOR der Preis seine Nackenlinie im Chart bricht."
rsi-8sma-proximity-filter,Warum gilt die Nähe des RSI zum 8er SMA als wichtiger Filter ('Game Changer')?,"Weil ein Trade übersprungen werden sollte, wenn der RSI weit weg vom 8er SMA ist; nahe Werte oder ein Cross bestätigen das kurzfristige Momentum."
ema-21-role,Welche Rolle spielt die 21er EMA beim Trading von Setups?,Sie dient als wichtiger dynamischer Filter ('Wand' / 'Busstopp'). Eine bullische Kerze sollte bei Long-Setups nicht direkt unter der 21er EMA schließen.
fibonacci-golden-pocket,Welcher Bereich wird beim Fibonacci Retracement als 'Golden Pocket' bezeichnet?,Der Bereich zwischen den Fibonacci-Levels 0.50 und 0.618.
fibonacci-786-bitcoin,Warum ist das 786er Fibonacci Level besonders im Bitcoin-Trading relevant?,"Es gilt als 'letzte Eisenbahn' für einen Pullback in Trendrichtung; wird es durchbrochen, ist der primäre Trend meist vorbei."
fibonacci-236-avoid,Warum sollte das 236er Fibonacci Retracement Level nicht für Trades genutzt werden?,Weil es für einen flachen Pullback steht und ein sehr schlechtes Risk-Reward-Verhältnis (CRV) bietet.
fibonacci-ema-candle-validity,Welche strikte Validitätsregel gilt für Kerzen an Fibonacci- und EMA-Levels?,"Der Preis darf das Level mit Docht oder Körper berühren, aber KEINE Kerze darf mit ihrem Körper komplett durch das Level schneiden."
fibonacci-retracement-vs-extension,Was ist der Unterschied zwischen Fibonacci Retracement und Fibonacci Extension/Expansion?,"Retracement identifiziert Pullback-Zonen innerhalb eines Trends, während Extension/Expansion zur Bestimmung von Zieltargets (TP) und Trendendpunkten dient."
lsob-four-steps,Aus welchen 4 Schritten besteht die Entstehung eines LSOB (Liquidity Sweep Orderblock)?,"1. Liquidity Sweep, 2. Entstehung von 2 entgegengerichteten Kerzen, 3. Einzeichnen des Orderblocks, 4. Retest der Zone mit Ablehnung."
lsob-invalid-when,Wann ist ein Liquidity Sweep Orderblock (LSOB) ungültig (invalid)?,"Wenn kein Sweep stattfand (z. B. Equal Highs), die Kerze mit dem Körper zu tief in die Zone schließt oder das Level komplett durchschlägt."
liquidity-sweep-definition,Was versteht man unter einem 'Liquidity Sweep' (LS)?,"Das gezielte Abfischen von Stop-Losses über einem Hoch oder unter einem Tief, bevor der Preis seine Richtung ändert."
equal-highs-liquidity,Was bedeutet 'Equal Highs' im Kontext von Liquidität?,"Zwei oder mehr Hochs auf nahezu identischem Niveau, über denen sich viele Stop-Losses (Liquidität) ansammeln."
smc-bos,Was bedeutet die Abkürzung BOS im Smart Money Concept (SMC)?,Break of Structure: Das Durchbrechen eines vorherigen Struktur-Hochs oder Struktur-Tiefs in Trendrichtung.
smc-choch,Was bedeutet CHOCH im Trading?,Change of Character: Das erste Signal für einen potenziellen Trendwechsel durch Durchbrechen der gegenseitigen Marktstruktur.
smc-market-structure-shift,Was beschreibt ein Market Structure Shift (MSS)?,"Eine bestätigte Änderung der Marktstruktur, die nach einem CHOCH auftritt und die neue Trendrichtung festigt."
smc-fair-value-gap,Was ist eine Fair Value Gap (FVG) bzw. BISI / SIBI?,"Eine Preislücke im 3-Kerzen-Muster, bei der zwischen Kerze 1 und Kerze 3 keine Docht-Überlappung besteht (Ineffizienz im Markt)."
smc-unicorn-setup,Was kennzeichnet ein 'Unicorn Setup' im Smart Money Concept?,Die perfekte Überschneidung eines Breaker Blocks mit einer Fair Value Gap (FVG).
smc-inducement,Was versteht man unter 'Inducement' im SMC Trading?,"Einen täuschenden Mini-Sweep oder Fake-Out, der Trader zu früh in den Markt lockt, bevor die echte Liquidität geholt wird."
macro-hawkish,Was bedeutet der Begriff 'Hawkish' bei Zentralbankentscheidungen?,"Eine restriktive Geldpolitik zur Inflationsbekämpfung (Zinserhöhungen/hohe Zinsen), was tendenziell negativ für BTC & Risiko-Assets ist."
macro-dovish,Was bedeutet der Begriff 'Dovish' bei Zentralbankentscheidungen?,"Eine lockere Geldpolitik zur Wirtschaftsförderung (Zinssenkungen), was mehr Liquidität bringt und bullisch für BTC wirkt."
macro-fomc-decisions,Was entscheidet das FOMC (Federal Open Market Committee) alle 6 Wochen?,Über den Leitzins der US-Zentralbank (Fed Funds Rate).
macro-cpi,Was misst der CPI (Consumer Price Index) und wie wirkt ein höherer Wert als erwartet auf BTC?,Er misst die Verbraucherpreis-Inflation. Höhere Werte als erwartet signalisieren hohe Inflation -> hawkish -> BTC fällt.
macro-nfp,Was zeigt der NFP-Bericht (Non-Farm Payrolls) an?,Die Anzahl der neu geschaffenen US-Arbeitsplätze außerhalb der Landwirtschaft. Ein starker Arbeitsmarkt schürt Inflationssorgen (hawkish).
macro-pce,Warum ist der PCE Price Index für Krypto-Trader besonders wichtig?,Weil der PCE das von der US-Notenbank (Fed) bevorzugte Inflationsmaß für Zinsentscheidungen ist.
macro-10y-yields-bitcoin,Wie reagiert der Bitcoin-Kurs typischerweise auf stark steigende 10-jährige US-Anleiherenditen (10Y Bond Yields)?,"BTC fällt, da steigende Anleiherenditen attraktiv und risikolos sind, wodurch Kapital aus Krypto abfließt (Risk-Off)."
macro-ism-pmi,Was signalisiert ein ISM Einkaufsmangerindex (PMI) von über 50?,Wirtschaftliche Expansion. Ein Wert unter 50 deutet auf Schrumpfung hin.
macro-fomc-minutes,Was sind die 'FOMC Minutes'?,"Das detaillierte Sitzungsprotokoll der Fed-Zinsentscheidung, das ca. 3 Wochen später veröffentlicht wird und Einblicke in die Notenbank-Strategie gibt."
macro-powell-speeches,Wie beeinflussen unvorhergesehene Aussagen in Reden des Fed-Chefs (Jerome Powell) den Kryptomarkt?,Sie führen meist zu unmittelbarer hoher Volatilität im Bitcoin- und Gesamtmarkt.
candles-bullish-engulfing,Was zeichnet eine Bullische Engulfing-Kerze aus?,"Eine kleine bärische Kerze wird von einer nachfolgenden, riesigen bullischen Kerze vollständig umschlossen (Körper überdeckt)."
candles-hammer-vs-shooting-star,Was unterscheidet eine Hammerkerze von einem Shooting Star?,"Ein Hammer ist bullisch mit langem Docht nach unten (>=70% der Kerze), ein Shooting Star ist bärisch mit langem Docht nach oben."
